PlotID,Contributor_Assigned_PlotID,Email,Investigators,SiteName,Country,SiteLatitude,SiteLongitude,EPSG,ClimateZone,PlantFuntionalType,PeakBiomass,PlotSize,ABG,ABG_g_m2,HAG_plotmin,HAG_plotmax,HAG_plotmean,HAG_plotmedian,HAG_plot90percent
18-BIL-01-EN18028,EN18028,kiuliia.shevtsova@awi.de,Luliia Shevtsova,AWI,Russian (Far East),163.357622,68.46781,32603,Tundra,Shrub,TRUE,15,2.3768,2.3768,0.013222222,0.25248,0.092360806,0.08753778,0.15191111
18-BIL-01-EN18029,EN18029,kiuliia.shevtsova@awi.de,Luliia Shevtsova,AWI,Russian (Far East),163.352262,68.465606,32603,Tundra,Shrub,TRUE,15,5.13794,5.13794,0.014,0.278111458,0.09898052,0.092968889,0.164066672
18-BIL-02-EN18030,EN18030,kiuliia.shevtsova@awi.de,Luliia Shevtsova,AWI,Russian (Far East),164.532731,68.405539,32603,Tundra,Shrub,TRUE,15,16.02206,16.02206,0.021013333,0.407673776,0.171841512,0.160222217,0.295697778
18-BIL-02-EN18031,EN18031,kiuliia.shevtsova@awi.de,Luliia Shevtsova,AWI,Russian (Far East),164.545351,68.404918,32603,Tundra,Shrub,TRUE,15,1.5936,1.5936,0.011826667,0.325029433,0.10117629,0.087279998,0.18874222
18-BIL-02-EN18032,EN18032,kiuliia.shevtsova@awi.de,Luliia Shevtsova,AWI,Russian (Far East),164.551181,68.404868,32603,Tundra,Shrub,TRUE,15,1.62287,1.62287,0.012635555,0.853768885,0.162109387,0.114773333,0.333858663
18-BIL-02-EN18034,EN18034,kiuliia.shevtsova@awi.de,Luliia Shevtsova,AWI,Russian (Far East),164.548043,68.403486,32603,Tundra,Shrub,TRUE,15,1.12302,1.12302,0.009822222,0.334902227,0.102513296,0.082719997,0.205875561
16-KP-01-EN18001,EN18001,kiuliia.shevtsova@awi.de,Luliia Shevtsova,AWI,Russian (Far East),168.34662,67.39273,32603,Tundra,Shrub,TRUE,15,2.40111,2.40111,0.012182223,0.258257776,0.092243029,0.085031115,0.156982228
16-KP-01-EN18003,EN18003,kiuliia.shevtsova@awi.de,Luliia Shevtsova,AWI,Russian (Far East),168.34702,67.39691,32603,Tundra,Shrub,TRUE,15,2.55187,2.55187,0.026631111,0.421531409,0.144489236,0.130862221,0.241835549
16-KP-01-EN18004,EN18004,kiuliia.shevtsova@awi.de,Luliia Shevtsova,AWI,Russian (Far East),168.351225,67.397489,32603,Tundra,Shrub,TRUE,15,0.8256,0.8256,0.026577778,0.457711101,0.155297997,0.139866665,0.261844456
16-KP-01-EN18005,EN18005,kiuliia.shevtsova@awi.de,Luliia Shevtsova,AWI,Russian (Far East),168.387511,67.4196515,32603,Tundra,Shrub,TRUE,15,0.35945,0.35945,0.011195555,0.196636483,0.077115728,0.071572445,0.130576894
