"PlotID","Contributor_Assigned_PlotID","Email","Investigators","SiteName","Country","SiteLatitude","SiteLongitude","EPSG","ClimateZone","PlantFuntionalType","PeakBiomass","PlotSize","ABG","ABG_g_m2","HAG_plotmin","HAG_plotmax","HAG_plotmean","HAG_plotmedian","HAG_plot90percent"
"shipSA_16plotcent","shipSA_16plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.540914121981,61.2392529462411,32606,"Shrub Tundra","Shrub","TRUE",53.29,1328.03352496,7.89839,0,10.1999998092651,6.55208890477816,7.65000009536743,9.08400039672852
"shipSA_16plotSE","shipSA_16plotSE","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.540515072628,61.2390101089971,32606,"Shrub Tundra","Shrub","TRUE",53.29,62.700186988,0.372905,0,1.63999998569489,0.136622222214937,0,0.415999990701675
"shipSA_16plotSW","shipSA_16plotSW","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.541540540172,61.2391813980173,32606,"Shrub Tundra","Shrub","TRUE",53.29,925.54025504,5.50459,0.730000019073486,12.3000001907349,9.41395556502872,10.0600004196167,11.4099998474121
"shipSA_1plotcent","shipSA_1plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.530762270217,61.2371213705036,32606,"Shrub Tundra","Shrub","TRUE",53.29,980.62912708,5.83223,0.360000014305115,7.53999996185303,5.80561224371195,6.11999988555908,7.08500003814697
"shipSA_1plotSE","shipSA_1plotSE","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.53034549068,61.2368858172769,32606,"Shrub Tundra","Shrub","TRUE",53.29,0,0,0,5.13000011444092,0.621666666262207,0.370000004768372,0.927000015974044
"shipSA_1plotSW","shipSA_1plotSW","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.531285062647,61.2369312528893,32606,"Shrub Tundra","Shrub","TRUE",53.29,194.330228664,1.15577,0,7.36999988555908,0.534000000251191,0.349999994039536,1.13399999141693
"shipSA_2plotcent","shipSA_2plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.532891503953,61.2370906618192,32606,"Shrub Tundra","Shrub","TRUE",53.29,890.32277476,5.29514,1.39999997615814,5.71000003814697,4.26233333235695,4.23000001907349,5.07000017166138
"shipSA_4plotcent","shipSA_4plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.524782164413,61.237074088936,32606,"Shrub Tundra","Shrub","TRUE",53.29,532.31999868,3.16594,0,7.5,4.31542856778417,4.4449999332428,6.60099992752075
"shipSA_17plotcent","shipSA_17plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.53507857643,61.2368886178633,32606,"Shrub Tundra","Shrub","TRUE",53.29,1036.83003452,6.16648,0.379999995231628,8.27999973297119,6.51190475736346,7.03999996185303,7.73200001716614
"shipSA_17plotSE","shipSA_17plotSE","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.53455463115,61.236701854368,32606,"Shrub Tundra","Shrub","TRUE",53.29,1538.71203568,9.15139,0.479999989271164,9.21000003814697,4.95600000293482,4.95499992370605,7.97000007629395
"shipSA_18plotcent","shipSA_18plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.531345682488,61.2375490836361,32606,"Shrub Tundra","Shrub","TRUE",53.29,662.35097884,3.93929,0,6.92999982833862,2.34857777267694,1.08000004291534,5.92999982833862
"shipSA_18plotN","shipSA_18plotN","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.53115697628,61.2378191707051,32606,"Shrub Tundra","Shrub","TRUE",53.29,77.399479408,0.460328,0,6.21000003814697,1.63986666167776,0.620000004768372,4.1539999961853
"shipSA_18plotSE","shipSA_18plotSE","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.530885588498,61.2373179794834,32606,"Shrub Tundra","Shrub","TRUE",53.29,0,0,0,0.939999997615814,0.234132653425391,0.230000004172325,0.53999999165535
"shipSA_18plotSW","shipSA_18plotSW","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.532031522449,61.2374966771071,32606,"Shrub Tundra","Shrub","TRUE",53.29,367.281236344,2.18438,0,6.1399998664856,1.44062221985724,0.829999983310699,3.76199998855591
"shipSA_19plotcent","shipSA_19plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.526383710005,61.2373360122952,32606,"Shrub Tundra","Shrub","TRUE",53.29,403.436457496,2.39941,0,6.53000020980835,2.7051555580563,1.52999997138977,5.85799989700317
"shipSA_20plotcent","shipSA_20plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.527178204788,61.2380106772557,32606,"Shrub Tundra","Shrub","TRUE",53.29,603.76259948,3.59084,0,7.34999990463257,4.33480951747901,5.39000010490417,6.73099999427795
"shipSA_20plotN","shipSA_20plotN","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.526926257738,61.2382882605213,32606,"Shrub Tundra","Shrub","TRUE",53.29,19.475597936,0.11583,0,2.36999988555908,0.234133333290617,0,0.620000004768372
"shipSA_21plotcent","shipSA_21plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.534274071898,61.2368985403243,32606,"Shrub Tundra","Shrub","TRUE",53.29,903.64904388,5.37439,0,6.26999998092651,3.84546667089065,4.76999998092651,5.75
"shipSA_4plotSW","shipSA_4plotSW","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.52545763804,61.236979110684,32606,"Shrub Tundra","Shrub","TRUE",53.29,606.27716116,3.60579,0,5.59999990463257,2.09367346136394,0.805000007152557,5.13499999046326
"shipSA_4plotSE","shipSA_4plotSE","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.524237632226,61.2369118182,32606,"Shrub Tundra","Shrub","TRUE",53.29,0,0,0,1.25999999046326,0.452499999531678,0.46000000834465,0.740000009536743
"shipSA_17plotSW","shipSA_17plotSW","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.535690937104,61.2367730324376,32606,"Shrub Tundra","Shrub","TRUE",53.29,0,0,0,10.3400001525879,4.61109524350613,4.66999983787537,8.85100011825561
"shipUM_3plotcent","shipUM_3plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.530764371843,61.2361321895387,32606,"Shrub Tundra","Shrub","TRUE",53.29,416.808115816,2.47894,0.300000011920929,14.8100004196167,6.94697779390547,6.65000009536743,10.989999961853
"shipUM_4plotcent","shipUM_4plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.529990933137,61.2354366808136,32606,"Shrub Tundra","Shrub","TRUE",53.29,1060.2463228,6.30574,2.91000008583069,11.7700004577637,5.22071428526016,4.59000015258789,8.69999961853027
"shipUM_4plotN","shipUM_4plotN","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.529751716497,61.2357161433792,32606,"Shrub Tundra","Shrub","TRUE",53.29,0,0,0,8.93000030517578,2.59128571621009,2.15000009536743,4.75599999427795
"shipUM_4plotSE","shipUM_4plotSE","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.52950005225,61.2352195192741,32606,"Shrub Tundra","Shrub","TRUE",53.29,0,0,0,8.8100004196167,1.17368888568547,0.360000014305115,5.07999992370605
"shipUM_4plotSW","shipUM_4plotSW","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.53061161566,61.2353070861875,32606,"Shrub Tundra","Shrub","TRUE",53.29,0,0,0,13.6499996185303,1.48395238106272,0.349999994039536,7.28300004005432
"shipUM_5plotcent","shipUM_5plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.533220179691,61.2358738430792,32606,"Shrub Tundra","Shrub","TRUE",53.29,226.420393064,1.34662,0,19.6200008392334,7.50309526778403,7.12000012397766,12.8900003433228
"shipUM_6plotcent","shipUM_6plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.53654103708,61.2354890311485,32606,"Shrub Tundra","Shrub","TRUE",53.29,1831.82187252,10.8946,0.419999986886978,8.75,5.98595236923013,6.55000019073486,7.84100012779236
"shipUM_6plotN","shipUM_6plotN","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.536364712087,61.2357938032469,32606,"Shrub Tundra","Shrub","TRUE",53.29,198.99079172,1.18348,0,16.4599990844727,7.11279998646842,7.23000001907349,14.0099998474121
"shipUM_6plotSE","shipUM_6plotSE","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.536111638394,61.235232931434,32606,"Shrub Tundra","Shrub","TRUE",53.29,38.7989604952,0.230754,0,11.9700002670288,3.4994666630692,2.64000010490417,8.15399990081787
"shipUM_6plotSW","shipUM_6plotSW","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.537231118843,61.2354664318386,32606,"Shrub Tundra","Shrub","TRUE",53.29,207.912946764,1.23655,0.230000004172325,9.05000019073486,2.79066665569941,2.20000004768372,6.23999977111816
"shipUM_15plotcent","shipUM_15plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.538584230797,61.2356802593555,32606,"Shrub Tundra","Shrub","TRUE",53.29,770.9809512,4.58536,0,28.3099994659424,5.59528570827984,5.66499996185303,7.46300001144409
"shipUM_16plotcent","shipUM_16plotcent","alonzo@american.edu","Mike Alonzo","Arctic Valley","Alaska (US)",-149.537661719086,61.2349399436713,32606,"Shrub Tundra","Shrub","TRUE",53.29,571.41371664,3.39845,1.51999998092651,5.69000005722046,3.5052444463306,3.49000000953674,4.5960000038147
