"PlotID","Contributor_Assigned_PlotID","Email","Investigators","SiteName","Country","SiteLatitude","SiteLongitude","EPSG","ClimateZone","PlantFuntionalType","PeakBiomass","PlotSize","ABG","ABG_g_m2","HAG_plotmin","HAG_plotmax","HAG_plotmean","HAG_plotmedian","HAG_plot90percent"
"peteSA_2plotcent","peteSA_2plotcent","alonzo@american.edu","Mike Alonzo","Peters Creek","Alaska (US)",-149.368083109818,61.3992680318912,32606,"Shrub Tundra","Shrub","TRUE",53.29,245.658151592,1.46104,0,3.77999997138977,1.18986666665309,0.829999983310699,2.84000005722046
"peteSA_3plotcent","peteSA_3plotcent","alonzo@american.edu","Mike Alonzo","Peters Creek","Alaska (US)",-149.366856109893,61.3985653545133,32606,"Shrub Tundra","Shrub","TRUE",53.29,252.700285972,1.50292,0,5.73000001907349,2.58862245006829,2.2849999666214,4.75500011444092
"peteSA_3plotN","peteSA_3plotN","alonzo@american.edu","Mike Alonzo","Peters Creek","Alaska (US)",-149.36660410882,61.3988560322847,32606,"Shrub Tundra","Shrub","TRUE",53.29,62.311201544,0.370592,0,3.97000002861023,0.923666666474726,0.230000004172325,3.19600005149841
"peteSA_3plotSE","peteSA_3plotSE","alonzo@american.edu","Mike Alonzo","Peters Creek","Alaska (US)",-149.366409956314,61.3983214129485,32606,"Shrub Tundra","Shrub","TRUE",53.29,122.639802832,0.729392,0,5.01999998092651,1.23035714311563,0.949999988079071,2.16500008106232
"peteSA_3plotSW","peteSA_3plotSW","alonzo@american.edu","Mike Alonzo","Peters Creek","Alaska (US)",-149.367483982162,61.3984626853136,32606,"Shrub Tundra","Shrub","TRUE",53.29,373.992029564,2.22429,0,7.71999979019165,2.81580952618803,2.69500005245209,6.26800022125244
"peteSA_4plotcent","peteSA_4plotcent","alonzo@american.edu","Mike Alonzo","Peters Creek","Alaska (US)",-149.365924095753,61.3985127712563,32606,"Shrub Tundra","Shrub","TRUE",53.29,525.3346008,3.12439,0,5.3600001335144,2.26346666753292,1.98000001907349,4.83200016021728
"peteSA_5plotcent","peteSA_5plotcent","alonzo@american.edu","Mike Alonzo","Peters Creek","Alaska (US)",-149.363594896759,61.3984509385239,32606,"Shrub Tundra","Shrub","TRUE",53.29,461.15881092,2.74271,0,4.73999977111816,2.14185714380195,2.42000007629395,3.82299993038177
"peteSA_1plotcent","peteSA_1plotcent","alonzo@american.edu","Mike Alonzo","Peters Creek","Alaska (US)",-149.369260104165,61.3979378993603,32606,"Shrub Tundra","Shrub","TRUE",53.29,236.798633644,1.40834,0,5.67000007629395,2.61871428461302,2.68500006198883,4.18399982452393
"peteUM_4plotcent","peteUM_4plotcent","alonzo@american.edu","Mike Alonzo","Peters Creek","Alaska (US)",-149.373134286596,61.3969420924865,32606,"Shrub Tundra","Shrub","TRUE",53.29,261.9637678,1.55801,0.200000002980232,10.5799999237061,3.96359999570582,3.66000008583069,8.16599998474121
"peteUM_3plotcent","peteUM_3plotcent","alonzo@american.edu","Mike Alonzo","Peters Creek","Alaska (US)",-149.373442874375,61.3959830686181,32606,"Shrub Tundra","Shrub","TRUE",53.29,548.96875724,3.26496,0,15.2700004577637,5.50600000506356,5.35999989509583,9.5710000038147
